file,subject,label,label_binary,task_name,repeat,received_at,trigger_ts,num_samples,pre_samples,reason
not_fall/sit_down/S01_sit_down_001.csv,S01,not_fall,0,sit_down,1,1780724843,633426,320,160,suspected_fall_peak1.99_az0.30_maxGyro79.0_thetaSwing20.7
not_fall/sit_down/S01_sit_down_002.csv,S01,not_fall,0,sit_down,2,1780724861,651619,320,160,suspected_fall_peak2.02_az0.37_maxGyro60.5_thetaSwing20.0
not_fall/sit_down/S01_sit_down_003.csv,S01,not_fall,0,sit_down,3,1780724885,674964,320,160,suspected_fall_peak1.34_az0.11_maxGyro163.0_thetaSwing42.0
not_fall/stand_up/S01_stand_up_001.csv,S01,not_fall,0,stand_up,1,1780724899,689201,320,160,suspected_fall_peak1.66_az0.22_maxGyro86.8_thetaSwing15.5
not_fall/sit_down/S01_sit_down_004.csv,S01,not_fall,0,sit_down,4,1780724911,701812,320,160,suspected_fall_peak1.72_az0.06_maxGyro57.4_thetaSwing8.5
not_fall/stand_up/S01_stand_up_002.csv,S01,not_fall,0,stand_up,2,1780724920,710065,320,160,suspected_fall_peak1.79_az0.16_maxGyro168.1_thetaSwing17.1
not_fall/sit_down/S01_sit_down_005.csv,S01,not_fall,0,sit_down,5,1780724946,735941,320,160,suspected_fall_peak1.67_az0.04_maxGyro68.5_thetaSwing10.9
not_fall/stand_up/S01_stand_up_003.csv,S01,not_fall,0,stand_up,3,1780724950,740147,320,160,suspected_fall_peak1.71_az0.08_maxGyro85.5_thetaSwing13.9
not_fall/stand_up/S01_stand_up_004.csv,S01,not_fall,0,stand_up,4,1780724974,764057,320,160,suspected_fall_peak1.68_az0.14_maxGyro142.0_thetaSwing56.1
not_fall/sit_down/S01_sit_down_006.csv,S01,not_fall,0,sit_down,6,1780724992,782746,320,160,suspected_fall_peak1.91_az0.36_maxGyro135.6_thetaSwing32.2
not_fall/sit_down/S01_sit_down_007.csv,S01,not_fall,0,sit_down,7,1780725007,797380,320,160,suspected_fall_peak1.25_az0.42_maxGyro158.0_thetaSwing42.5
not_fall/stand_up/S01_stand_up_005.csv,S01,not_fall,0,stand_up,5,1780725017,807852,320,160,suspected_fall_peak1.66_az0.73_maxGyro107.2_thetaSwing40.2
not_fall/sit_down/S01_sit_down_008.csv,S01,not_fall,0,sit_down,8,1780725024,814757,320,160,suspected_fall_peak1.79_az0.06_maxGyro156.8_thetaSwing42.0
not_fall/walk/S01_walk_001.csv,S01,not_fall,0,walk,1,1780725072,862716,320,160,suspected_fall_peak1.57_az0.16_maxGyro88.3_thetaSwing13.5
not_fall/walk/S01_walk_002.csv,S01,not_fall,0,walk,2,1780725091,881664,320,160,suspected_fall_peak2.12_az0.31_maxGyro123.0_thetaSwing21.2
not_fall/walk/S01_walk_003.csv,S01,not_fall,0,walk,3,1780725103,893355,320,160,suspected_fall_peak1.65_az0.55_maxGyro128.1_thetaSwing36.2
not_fall/sit_down/S01_sit_down_009.csv,S01,not_fall,0,sit_down,9,1780725122,912216,320,160,suspected_fall_peak1.62_az0.60_maxGyro109.3_thetaSwing30.0
not_fall/stand_up/S01_stand_up_006.csv,S01,not_fall,0,stand_up,6,1780725127,917690,320,160,suspected_fall_peak1.71_az0.28_maxGyro164.7_thetaSwing42.3
not_fall/sit_down/S01_sit_down_010.csv,S01,not_fall,0,sit_down,10,1780725138,928287,320,160,suspected_fall_peak1.27_az0.15_maxGyro175.5_thetaSwing23.2
not_fall/stand_up/S01_stand_up_007.csv,S01,not_fall,0,stand_up,7,1780725142,932313,320,160,suspected_fall_peak1.87_az0.01_maxGyro59.8_thetaSwing9.0
not_fall/sit_down/S01_sit_down_011.csv,S01,not_fall,0,sit_down,11,1780725168,958141,320,160,suspected_fall_peak2.07_az0.08_maxGyro185.9_thetaSwing35.9
not_fall/stand_up/S01_stand_up_008.csv,S01,not_fall,0,stand_up,8,1780725173,963338,320,160,suspected_fall_peak2.13_az0.58_maxGyro100.7_thetaSwing33.7
not_fall/stand_up/S01_stand_up_009.csv,S01,not_fall,0,stand_up,9,1780725190,980231,320,160,suspected_fall_peak1.86_az0.50_maxGyro135.3_thetaSwing27.8
not_fall/sit_down/S01_sit_down_012.csv,S01,not_fall,0,sit_down,12,1780725201,991004,320,160,suspected_fall_peak1.97_az0.06_maxGyro63.6_thetaSwing15.0
not_fall/sit_down/S01_sit_down_013.csv,S01,not_fall,0,sit_down,13,1780725216,1006309,320,160,suspected_fall_peak2.27_az0.23_maxGyro190.3_thetaSwing45.2
not_fall/stand_up/S01_stand_up_010.csv,S01,not_fall,0,stand_up,10,1780725236,1026537,320,160,suspected_fall_peak1.69_az0.56_maxGyro181.0_thetaSwing41.7
not_fall/sit_down/S01_sit_down_014.csv,S01,not_fall,0,sit_down,14,1780725249,1039703,320,160,suspected_fall_peak1.99_az0.02_maxGyro115.8_thetaSwing26.5
not_fall/sit_down/S01_sit_down_015.csv,S01,not_fall,0,sit_down,15,1780725258,1048839,320,160,suspected_fall_peak1.79_az0.14_maxGyro182.8_thetaSwing33.1
